,Artist,Rank,Song Title,Year
461,Silver Convention,14,"Fly, Robin, Fly",1976
462,Diana Ross,15,Love Hangover,1976
463,Seals & Crofts,16,Get Closer,1976
464,Andrea True Connection,17,"More, More, More",1976
465,Queen,18,Bohemian Rhapsody,1976
466,Dorothy Moore,19,Misty Blue,1976
467,The Sylvers,20,Boogie Fever,1976
468,England Dan & John Ford Coley,21,I'd Really Love To See You Tonight,1976
469,Nazareth,23,Love Hurts,1976
470,Silver Convention,24,Get Up And Boogie,1976
471,Eagles,25,Take It To The Limit,1976
472,Commodores,27,Sweet Love,1976
473,Maxine Nightingale,28,Right Back Where We Started From,1976
474,Ohio Players,30,Love Rollercoaster,1976
475,Bee Gees,31,You Should Be Dancing,1976
476,Lou Rawls,32,You'll Never Find Another Love Like Mine,1976
477,David Bowie,33,Golden Years,1976
478,Starbuck,34,Moonlight Feels Right,1976
479,Dr. Hook,35,Only Sixteen,1976
480,Bellamy Brothers,36,Let Your Love Flow,1976
481,Vicki Sue Robinson,38,Turn The Beat Around,1976
482,Captain & Tennille,39,Lonely Night (angel Face),1976
483,Eric Carmen,40,All By Myself,1976
484,Donna Summer,41,Love To Love You Baby,1976
485,Donny & Marie Osmond,42,Deep Purple,1976
486,Rufus Featuring Chaka Khan,44,Sweet Thing,1976
487,Dr. Hook,46,A Little Bit More,1976
488,Henry Gross,47,Shannon,1976
489,Chicago,48,If You Leave Me Now,1976
490,Boz Scaggs,49,Lowdown,1976
491,Peter Frampton,50,Show Me The Way,1976
492,Aerosmith,51,Dream On,1976
493,The O'Jays,52,I Love Music (Part 1),1976
494,Fleetwood Mac,53,Say You Love Me,1976
495,Cliff Richard,55,Devil Woman,1976
496,Elvin Bishop,56,Fooled Around And Fell In Love,1976
497,C.W. McCall,57,Convoy,1976
498,John Sebastian,58,Welcome Back,1976
499,"Earth, Wind & Fire",59,Sing A Song,1976
500,Tavares,60,HEAVEN MUST BE MISSING AN ANGEL,1976
501,The Brothers Johnson,61,I'll Be Good To You,1976
502,The Beach Boys,62,Rock And Roll Music,1976
503,Captain & Tennille,63,Shop Around,1976
504,Bay City Rollers,64,Saturday Night,1976
505,Elton John,65,Island Girl,1976
506,The Staple Singers,66,Let's Do It Again (Soundtrack),1976
507,George Benson,69,This Masquerade,1976
508,Electric Light Orchestra,70,Evil Woman,1976
509,Silver,71,Wham Bam,1976
510,Keith Carradine,72,I'm Easy,1976
511,Harold Melvin And The Blue Notes,73,Wake Up Everybody (Part 1),1976
512,War,74,Summer,1976
513,John Travolta,75,Let Her In,1976
514,Sweet,76,Fox On The Run,1976
515,Fleetwood Mac,77,Rhiannon (Will You Ever Win),1976
516,The Beatles,78,Got To Get You Into My Life,1976
517,Bee Gees,79,Fanny (Be Tender With My Love),1976
518,"Earth, Wind & Fire",80,Getaway,1976
519,Orleans,82,Still The One,1976
520,Queen,83,You're My Best Friend,1976
521,Jefferson Starship,84,With Your Love,1976
522,Foghat,85,Slow Ride,1976
523,Ohio Players,86,Who'd She Coo?,1976
524,Thin Lizzy,87,The Boys Are Back In Town,1976
525,David Ruffin,88,Walk Away From Love,1976
526,Peter Frampton,89,Baby I Love Your Way,1976
527,Candi Staton,90,Young Hearts Run Free,1976
